ID,Residence_Type,ECF,Street Address,Sale_Date,Price,Type,Class,Year_Built,Square_Feet,Basement_Square_Feet,Basement_Finished_Recreation,Basement_Finished_Living,Full_Baths,Half_Baths,Price_per_sqft
C0801_08-376-088_56,Condo,C0801,1486 Brentwood ,11/16/2018,263000,Colonial,CD,1971,1487,705,0,0,2,1,176.87
C0801_08-376-113_57,Condo,C0801,1520 Brentwood ,6/6/2018,250000,Colonial,CD,1971,1487,705,300,0,2,1,168.12
C0801_08-376-203_58,Condo,C0801,1763 Brentwood ,11/20/2017,260000,Colonial,CD,1971,1487,705,300,0,2,1,174.85
C0801_08-376-270_59,Condo,C0801,5173 Buckingham ,10/30/2018,249000,Colonial,CD,1971,1487,705,300,0,2,1,167.45
C0801_08-376-289_60,Condo,C0801,5039 Buckingham ,9/5/2018,262000,Colonial,CD,1971,1487,705,300,0,2,1,176.19
C0801_08-376-322_61,Condo,C0801,5092 Buckingham ,8/22/2017,260000,Colonial,CD,1971,1487,705,300,0,2,1,174.85
C0801_08-377-001_62,Condo,C0801,1754 Brentwood ,8/23/2017,239700,Colonial,CD,1971,1487,705,0,0,2,1,161.20
C0801_08-377-040_63,Condo,C0801,1834 Brentwood ,2/11/2019,244000,Colonial,CD,1971,1487,705,300,0,2,1,164.09
C0801_08-132-031_64,Condo,C0801,5766 N'field Pkwy ,8/25/2017,173000,Ranch,CD,1971,947,947,0,0,1,0,182.68
C0801_08-132-031_65,Condo,C0801,5766 N'field Pkwy ,10/25/2018,195000,Ranch,CD,1971,947,947,0,0,1,0,205.91
C0801_08-376-276_66,Condo,C0801,5185 Buckingham ,7/20/2018,188500,Ranch,CD,1971,947,947,0,0,1,0,199.05
C0802_08-202-050_67,Condo,C0802,5927 Whitfield ,9/11/2017,300000,Colonial,C,1989,1737,1391,0,0,3,0,172.71
C0802_08-202-094_68,Condo,C0802,1306 Autumn ,3/14/2019,323000,Colonial,C,1990,1737,1391,0,0,3,0,185.95
C0802_08-202-110_69,Condo,C0802,1238 Autumn ,5/24/2018,330000,Colonial,C,1993,1737,1391,0,0,3,0,189.98
C0802_08-202-126_70,Condo,C0802,5816 Dawn Ridge ,11/30/2018,350000,Colonial,C,1995,1737,1391,1122,0,3,0,201.50
C0802_08-202-142_71,Condo,C0802,5894 Dawn Ridge ,2/28/2018,329000,Colonial,C,1995,1737,1391,0,0,3,0,189.41
C0802_08-202-146_72,Condo,C0802,1223 Autumn ,5/22/2018,327000,Colonial,C,1995,1737,1391,0,0,3,0,188.26
C0802_08-202-128_73,Condo,C0802,5820 Dawn Ridge ,6/12/2017,297500,Colonial,C,1995,1851,1481,0,0,3,0,160.72
C0802_08-202-044_74,Condo,C0802,5901 Whitfield ,8/31/2018,275000,Ranch,C,1989,1494,1480,0,0,2,0,184.07
C0902_09-476-078_75,Condo,C0902,272 Harrington ,8/25/2017,381000,Colonial,BC,2002,2092,1697,0,0,2,1,182.12
